"run","verifierSetUpCPU","verifierSetUpMemory","verifierSetUpTime","proverCPU","proverMemory","proverTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
1, 416.46, 42.91, 612.60, 559.90, 152.33, 499.82, 3.99, 152.33, 0.01
2, 434.19, 226.46, 618.91, 890.04, 181.51, 287.25, 10.39, 181.51, 0.01
3, 423.25, 236.73, 616.74, 893.10, 191.94, 286.94, 13.79, 191.94, 0.01
4, 425.07, 246.83, 618.95, 891.58, 202.25, 286.15, 10.37, 202.25, 0.02
5, 424.00, 256.95, 616.63, 896.97, 212.30, 285.94, 10.39, 212.30, 0.01
6, 433.79, 266.96, 629.68, 868.48, 212.56, 298.02, 10.02, 212.56, 0.01
7, 435.93, 267.25, 626.08, 907.25, 222.41, 282.49, 14.07, 222.41, 0.01
8, 422.88, 276.98, 625.22, 875.21, 231.94, 290.48, 13.68, 231.94, 0.02
9, 435.20, 286.37, 616.14, 873.64, 241.54, 296.05, 6.69, 241.54, 0.01
10, 432.77, 296.34, 623.50, 861.03, 251.67, 301.32, 6.60, 251.67, 0.01
11, 432.94, 305.96, 627.11, 863.33, 260.77, 296.59, 10.00, 260.77, 0.02
12, 419.49, 315.05, 632.58, 867.80, 260.97, 293.13, 13.56, 260.97, 0.01
13, 423.81, 315.56, 622.09, 878.09, 260.98, 284.10, 10.41, 260.98, 0.02
14, 437.38, 315.91, 621.13, 889.66, 261.40, 287.56, 10.34, 261.40, 0.02
15, 438.97, 316.04, 619.77, 883.58, 261.43, 291.48, 10.23, 261.43, 0.01
16, 416.86, 316.00, 643.61, 891.97, 271.12, 285.93, 13.88, 271.12, 0.01
17, 441.94, 325.72, 609.03, 853.33, 271.15, 306.70, 6.46, 271.15, 0.01
18, 418.46, 325.83, 642.06, 915.79, 271.21, 282.45, 14.04, 271.21, 0.01
19, 430.95, 335.22, 612.98, 884.21, 281.14, 283.28, 14.04, 281.14, 0.01
20, 440.16, 345.01, 614.69, 872.13, 290.57, 302.20, 6.56, 290.57, 0.01
21, 443.82, 344.82, 613.02, 888.51, 290.66, 290.21, 6.81, 290.66, 0.02
22, 413.41, 344.80, 625.84, 877.31, 299.82, 294.91, 6.72, 299.82, 0.01
23, 448.84, 354.30, 611.31, 901.31, 309.48, 283.45, 6.99, 309.48, 0.01
24, 425.83, 363.88, 630.52, 887.37, 309.83, 288.68, 10.28, 309.83, 0.01
25, 442.42, 364.15, 624.22, 889.66, 309.68, 287.95, 6.90, 309.68, 0.01
26, 418.29, 364.40, 620.84, 874.26, 319.66, 294.73, 10.13, 319.66, 0.01
27, 431.92, 373.94, 625.34, 875.79, 319.48, 296.05, 10.11, 319.48, 0.02
28, 442.15, 373.84, 622.63, 867.35, 329.20, 300.20, 6.57, 329.20, 0.01
29, 436.22, 383.45, 627.06, 895.73, 329.01, 289.50, 6.84, 329.01, 0.01
30, 430.41, 383.53, 632.42, 893.51, 338.57, 285.47, 6.93, 338.57, 0.01
